REF + MAQ;Item;Desc. item;Tipo inventario;AREA;Preforma;Ciclo;Maquina;Cavidades;BOT/HORA;UNIDAD DE EMPAQUE;;Centro de trabajo;;;;;;;;;;;;;;;;;;;;;;;;;
#N/D;2167;TAPON DOSIFICADOR R26,7-28 MM;IN350505  ;#N/D;;-;;;;;;AOLI 1         ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA VERDE 4,5 G R48;2591;TAPA VERDE 4,5 G R48;IN300502  ;TAPA Y ASA;4,5;18,00;;24;4800;;;AOLI 2         ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA VERDE 2,4 G R1881;2205;TAPA VERDE 2,4 G R1881;IN300502  ;TAPA Y ASA;2,4;14,00;;32;8229;;;AOLI 3 II      ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA VERDE 2,0 G RC33;1159;TAPA VERDE 2,0 G RC33;IN300502  ;TAPA Y ASA;2;14,00;;32;8229;;;AOLI 4         ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA VERDE 1,0 G RC26,7;1155;TAPA VERDE 1,0 G RC26,7;IN300502  ;TAPA Y ASA;1;9,00;;48;19200;;;C TAPA1 R26,7MM;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA TRANSPARENTE 2,4 G R1881;2165;TAPA TRANSPARENTE 2,4 G R1881;IN300502  ;TAPA Y ASA;2,4;14,00;;32;8229;;;C TAPA2 R26,7MM;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA TRANSPARENTE 2,0 G RC33;1156;TAPA TRANSPARENTE 2,0 G RC33;IN300502  ;TAPA Y ASA;2;14,00;;32;8229;;;C TAPA3 R26,7MM;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA TRANSPARENTE 1,0 G RC26,7;3838;TAPA TRANSPARENTE 1,0 G RC26,7;IN300502  ;TAPA Y ASA;1;9,00;;48;19200;;;CORT TAPA R1881;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA ROJA 2,4 G R1881;1160;TAPA ROJA 2,4 G R1881;IN300502  ;TAPA Y ASA;2,4;14,00;;32;8229;;;CORT TAPA R33MM;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA NEGRA 2,4 G R1881;2927;TAPA NEGRA 2,4 G R1881;IN300502  ;TAPA Y ASA;2,4;14,00;;32;8229;;;CORT TAPA R48MM;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA NEGRA  2,0 G RC33;2804;TAPA NEGRA  2,0 G RC33;IN300502  ;TAPA Y ASA;2;14,00;;32;8229;;;HAITIAN 1      ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA NARANJA 4,5 G R48;882;TAPA NARANJA 4,5 G R48;IN300502  ;TAPA Y ASA;4,5;18,00;;24;4800;;;HAITIAN 2      ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA CLORO FUCSIA 2GR R27MM;5445;TAPA CLORO FUCSIA 2GR R27MM;IN300501  ;TAPA Y ASA;;9,00;;24;9600;;;HAITIAN 3      ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA CAFE 2,4 G R1881;1161;TAPA CAFE 2,4 G R1881;IN300502  ;TAPA Y ASA;2,4;14,00;;32;8229;;;HAITIAN 4      ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA BLANCA 4,5 G R48;880;TAPA BLANCA 4,5 G R48;IN300502  ;TAPA Y ASA;4,5;18,00;;24;4800;;;HAITIAN TAPA 1 ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA BLANCA 2,4 G R1881;883;TAPA BLANCA 2,4 G R1881;IN300502  ;TAPA Y ASA;2,4;14,00;;32;8229;;;HAITIAN TAPA 2 ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA BLANCA 2,0 G RC33;879;TAPA BLANCA 2,0 G RC33;IN300502  ;TAPA Y ASA;2;14,00;;32;8229;;;MEGA 1         ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA BLANCA 2,0 G RC33;1158;TAPA BLANCA 2,0 G RC33;IN300502  ;TAPA Y ASA;2;14,00;;32;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA BLANCA 17,5 GR R94 MM;2849;TAPA BLANCA 17,5 GR R94 MM;IN300502  ;TAPA Y ASA;17,5;25,00;;4;576;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA BLANCA 10 G R63;885;TAPA BLANCA 10 G R63;IN300502  ;TAPA Y ASA;10;24,00;;48;7200;;;MEGA 2         ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA BLANCA 1,0 G RC26,7;877;TAPA BLANCA 1,0 G RC26,7;IN300502  ;TAPA Y ASA;1;9,00;;48;19200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AZUL 4,5 G R48;881;TAPA AZUL 4,5 G R48;IN300502  ;TAPA Y ASA;4,5;18,00;;24;4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AZUL 2,4 G R1881;884;TAPA AZUL 2,4 G R1881;IN300502  ;TAPA Y ASA;2,4;14,00;;32;8229;;;MEGA 45        ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AZUL 1,0 G RC26,7;3152;TAPA AZUL 1,0 G RC26,7;IN300502  ;TAPA Y ASA;1;9,00;;48;19200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AMARILLA 2,0 G RC33;878;TAPA AMARILLA 2,0 G RC33;IN300502  ;TAPA Y ASA;2;14,00;;32;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AMARILLA 2,0 G RC33;1157;TAPA AMARILLA 2,0 G RC33;IN300502  ;TAPA Y ASA;2;14,00;;32;8229;;;MOLINO BOT     ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AMARILLA 1,4 G R1881;5568;TAPA AMARILLA 1,4 G R1881;IN300501  ;TAPA Y ASA;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AMARILLA 1,0 G RC26,7;876;TAPA AMARILLA 1,0 G RC26,7;IN300502  ;TAPA Y ASA;1;9,00;;48;19200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AGUA TRANSP 1 GR R26,7;3835;TAPA AGUA TRANSP 1 GR R26,7;IN300504  ;TAPA Y ASA;1,,0 ;9,00;;48;19200;;;MOLINO PE      ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AGUA BLANCA 1 GR R26.7;3848;TAPA AGUA BLANCA 1 GR R26.7;IN300504  ;TAPA Y ASA;1;9,00;;48;19200;;;MOLINO PREF    ;;MEGA 2         ;;;;;;;;;;;;;;;;;;;;;;;
TAPA AGUA AZUL 4,5 GR R48;4101;TAPA AGUA AZUL 4,5 GR R48;IN300504  ;TAPA Y ASA;4,5;18,00;;24;4800;;;QUINK LEOPARD 2;;QUINKO 2       ;;;;;;;;;;;;;;;;;;;;;;;
TAPA AGUA AZUL 2,4 GR R1881;4083;TAPA AGUA AZUL 2,4 GR R1881;IN300504  ;TAPA Y ASA;2,4;14,00;;32;8229;;;QUINK LEOPARD 3;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AGUA AZUL 2 GR R33;4071;TAPA AGUA AZUL 2 GR R33;IN300504  ;TAPA Y ASA;2;14,00;;32;8229;;;QUINK LEOPARD 4;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA AGUA AZUL 1 GR R26.7;3565;TAPA AGUA AZUL 1 GR R26.7;IN300504  ;TAPA Y ASA;1;9,00;;48;19200;;;QUINKO 1       ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA  CLORO VERDE 2,0 G R26,7;4916;TAPA  CLORO VERDE 2,0 G R26,7;IN300502  ;TAPA Y ASA;2;9,00;;24;9600;;;QUINKO 2       ;;;;;;;;;;;;;;;;;;;;;;;;;
TAPA  CLORO AZUL 2,0 G R27;4543;TAPA  CLORO AZUL 2,0 G R27;IN300502  ;TAPA Y ASA;2;9,00;;24;9600;;;QUINKO 4       ;;;;;;;;;;;;;;;;;;;;;;;;;
SV/SOPL BOT ONE 3000CC TR 50.5 R1881 S.E ;3913;SV/SOPL BOT ONE 3000CC TR 50.5 R1881 S.E;IN300601  ;SOPLADO;;-;;;;;;QUINKO LEOPARD ;;;;;;;;;;;;;;;;;;;;;;;;;
SERVSP BOT ALCOHOL 375 TR 20,7 R1881 CMP AOLI 4         ;5414;SERVSP BOT ALCOHOL 375 TR 20,7 R1881 CMP;IN300501  ;SOPLADO;;4,91;AOLI 4         ;3;2200;;;SEMI 15        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SPL BOT ALCOHOL 375 TR 18 R1881 CMP AOLI 1         ;5009;SERV SPL BOT ALCOHOL 375 TR 18 R1881 CMP;IN300601  ;SOPLADO;;4,91;AOLI 1         ;3;2200;;;SEMI 22        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SPL BOT ALCOHOL 375 TR 18 R1881 CMP AOLI 4         ;5009;SERV SPL BOT ALCOHOL 375 TR 18 R1881 CMP;IN300501  ;SOPLADO;;4,91;AOLI 4         ;3;2200;;;SEMI 23        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SP BOT ALCOHOL 375 TR19,7 R1881 CMP AOLI 4         ;5454;SERV SP BOT ALCOHOL 375 TR19,7 R1881 CMP;IN300501  ;SOPLADO;;4,91;AOLI 4         ;3;2200;;;SEMI 24 BQ     ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD OMI 600CC TR 18 R1881CMP MEGA 1         ;;SERV SOPLAD OMI 600CC TR 18 R1881CMP;IN300501  ;SOPLADO;;9,00;MEGA 1         ;2;800;;;SEMI 30        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT  400CC TR 19,7 R1881 CMP QUINK LEOPARD 2;5504;SERV SOPLAD BOT  400CC TR 19,7 R1881 CMP;IN300501  ;SOPLADO;;2,27;QUINK LEOPARD 2;6;9500;;;SEMI 32        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 600CC TR 18 R1881 SEMI 45        ;3018;SERV SOPLAD BOT ONE 600CC TR 18 R1881;IN300601  ;SOPLADO;;9,00;SEMI 45        ;2;800;;;SEMI 35        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 600CC TR 18 R1881 SEMI 23        ;3018;SERV SOPLAD BOT ONE 600CC TR 18 R1881;IN300601  ;SOPLADO;;9,00;SEMI 23        ;2;800;;;SEMI 4         ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 600CC TR 18 R1881 SEMI 32        ;3018;SERV SOPLAD BOT ONE 600CC TR 18 R1881;IN300601  ;SOPLADO;;9,00;SEMI 32        ;2;800;;;SEMI 41        ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 600CC TR 18 R1881 SEMI 42        ;3018;SERV SOPLAD BOT ONE 600CC TR 18 R1881;IN300601  ;SOPLADO;;8,00;SEMI 42        ;2;900;;;SEMI 42        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 400CC TR 18 R1881 AOLI 1         ;3020;SERV SOPLAD BOT ONE 400CC TR 18 R1881;IN300601  ;SOPLADO;;4,91;AOLI 1         ;3;2200;;;SEMI 45        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 400CC TR 18 R1881 AOLI 2         ;3020;SERV SOPLAD BOT ONE 400CC TR 18 R1881;IN300601  ;SOPLADO;;4,91;AOLI 2         ;3;2200;;;SEMI 47        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 400CC TR 18 R1881 AOLI 4         ;3020;SERV SOPLAD BOT ONE 400CC TR 18 R1881;IN300601  ;SOPLADO;;4,91;AOLI 4         ;3;2200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 400CC TR 18 R1881 QUINK LEOPARD 2;3020;SERV SOPLAD BOT ONE 400CC TR 18 R1881;IN300601  ;SOPLADO;;2,27;QUINK LEOPARD 2;6;9500;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 300CC TR 15 R1881 ;3109;SERV SOPLAD BOT ONE 300CC TR 15 R1881;IN300601  ;SOPLADO;;-;;;;;;SEMI 51        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 3000CC TR 54,7 R1881 ;3525;SERV SOPLAD BOT ONE 3000CC TR 54,7 R1881;IN300601  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 3000CC TR 50.5 R1881 ;3681;SERV SOPLAD BOT ONE 3000CC TR 50.5 R1881;IN300601  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT ONE 1700CC TR 41 R28 QUINK LEOPARD 2;3047;SERV SOPLAD BOT ONE 1700CC TR 41 R28;IN300601  ;SOPLADO;;6,00;QUINK LEOPARD 2;6;3600;;;SEMI 52        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 19,7 R1881 QUINK LEOPARD 2;5503;SERV SOPLAD BOT OMI 600CC TR 19,7 R1881;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 2;6;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP SEMI 45        ;3016;SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP;IN300601  ;SOPLADO;;9,00;SEMI 45        ;2;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP SEMI 23        ;3016;SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP;IN300601  ;SOPLADO;;9,00;SEMI 23        ;2;800;;;SEMI BIDON 2   ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP SEMI 32        ;3016;SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP;IN300601  ;SOPLADO;;9,00;SEMI 32        ;2;800;;;SEMI BIDON 2   ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP SEMI 51        ;3016;SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP;IN300501  ;SOPLADO;;8,00;SEMI 51        ;2;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP MEGA 1         ;;SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP;IN300501  ;SOPLADO;;9;MEGA 1         ;2;800;;;SIAPI 1        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP SEMI 42        ;3016;SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP;IN300601  ;SOPLADO;;8,00;SEMI 42        ;2;900;;;SIAPI 2        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP QUINK LEOPARD 2;3016;SERV SOPLAD BOT OMI 600CC TR 18 R1881CMP;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 2;6;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881 SEMI 45        ;3040;SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881;IN300601  ;SOPLADO;;9,00;SEMI 45        ;2;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881 SEMI 23        ;3040;SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881;IN300601  ;SOPLADO;;9,00;SEMI 23        ;2;800;;;TM 1400        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881 SEMI 32        ;3040;SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881;IN300601  ;SOPLADO;;9,00;SEMI 32        ;2;800;;;TM 2100-1      ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881 QUINK LEOPARD 2;3040;SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881;IN300601  ;SOPLADO;;3,60;QUINK LEOPARD 2;6;6000;;;TM 2100-3      ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881 SEMI 42        ;3040;SERV SOPLAD BOT AGUA GAS 600 TR 18 R1881;IN300601  ;SOPLADO;;8,00;SEMI 42        ;2;900;;;TM TAPA        ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPL BOT OMI 600 TR 18 R1881 50%PCR QUINK LEOPARD 2;5845;SERV SOPL BOT OMI 600 TR 18 R1881 50%PCR;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 2;6;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD BOT AG/GAS 600 TR 19,7 R1881 QUINK LEOPARD 2;3505;SERV SOPLAD BOT AG/GAS 600 TR 19,7 R1881;IN300501  ;SOPLADO;;3,60;QUINK LEOPARD 2;6;6000;;;TONGDA POLIET  ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLAD  BOT ONE 250CC TR 15 R188 ;3042;SERV SOPLAD  BOT ONE 250CC TR 15 R188;IN300601  ;SOPLADO;;-;;;;;;TONGDA POLIET 2;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLA BOT ONE CARIBE 1000 TR 31 R18 QUINK LEOPARD 2;3149;SERV SOPLA BOT ONE CARIBE 1000 TR 31 R18;IN300601  ;SOPLADO;;3,60;QUINK LEOPARD 2;6;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLA BOT CILEDCO 600CC TR 18 R1881 ;3150;SERV SOPLA BOT CILEDCO 600CC TR 18 R1881;IN300601  ;SOPLADO;;-;;;;;;TONGDA POLIET 2;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPLA BOT CILEDCO 600CC TR 15 R1881 ;3090;SERV SOPLA BOT CILEDCO 600CC TR 15 R1881;IN300601  ;SOPLADO;;-;;;;;;WELLTEC 1      ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPL BOT SODA O/C 400CC TR 20.7 ;3105;SERV SOPL BOT SODA O/C 400CC TR 20.7;IN300601  ;SOPLADO;;-;;;;;;WELLTEC 2      ;;;;;;;;;;;;;;;;;;;;;;;;;
SERV SOPL BOT ONE 400CC TR 15G R1881 ;3122;SERV SOPL BOT ONE 400CC TR 15G R1881;IN300601  ;SOPLADO;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#N/D;3022;SERV INYECCION PREF 98G TR R38;IN100601  ;#N/D;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#N/D;3043;SERV INYECC PREF 15.2G TR R24;IN350505  ;#N/D;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA VERDE OLIVA 41 G R28;1150;PREFORMA VERDE OLIVA 41 G R28;IN100501  ;INYECCIÓN;41;34,50;;32;3339;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA VERDE 18,5 G R1881;1087;PREFORMA VERDE 18,5 G R1881;IN100501  ;INYECCIÓN;18,5;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 98 G R38;1110;PREFORMA TRANSPARENTE 98 G R38;IN100501  ;INYECCIÓN;98;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 92 G RC33;1109;PREFORMA TRANSPARENTE 92 G RC33;IN100501  ;INYECCIÓN;92;43,00;;16;1340;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 9,6 G R20;1070;PREFORMA TRANSPARENTE 9,6 G R20;IN100501  ;INYECCIÓN;9,6;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 9,6 G R18;1069;PREFORMA TRANSPARENTE 9,6 G R18;IN100501  ;INYECCIÓN;9,6;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 85 G R38;1108;PREFORMA TRANSPARENTE 85 G R38;IN100501  ;INYECCIÓN;85;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 84 G R48;1106;PREFORMA TRANSPARENTE 84 G R48;IN100501  ;INYECCIÓN;84;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 8,7 G RC26,7;5315;PREFORMA TRANSPARENTE 8,7 G RC26,7;IN300501  ;INYECCIÓN;;18,00;;48;10800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 75 G RC33;5507;PREFORMA TRANSPARENTE 75 G RC33;IN300501  ;INYECCIÓN;;50,00;;32;2304;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 72 G R48;1104;PREFORMA TRANSPARENTE 72 G R48;IN100501  ;INYECCIÓN;72;36,00;;16;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 67 G R38;1103;PREFORMA TRANSPARENTE 67 G R38;IN100501  ;INYECCIÓN;67;40,00;;24;2160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 58 G RC33;1102;PREFORMA TRANSPARENTE 58 G RC33;IN100501  ;INYECCIÓN;58;39,05;;32;2950;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 56 G R28;1101;PREFORMA TRANSPARENTE 56 G R28;IN100501  ;INYECCIÓN;56;42,50;;32;2711;;;;;;;;;;;;;;;;;;;;;;;;;;;;
